field,base_field,elasticsearch_type,category,human_name_en,meaning_en,unit_or_value_hint,preferred_esql_field,agent_notes,confidence
KoeretoejOplysningGrundStruktur,KoeretoejOplysningGrundStruktur,object,Basic vehicle information,Vehicle Basic Structure,"Container object for basic vehicle information fields. Use the leaf fields under this object for filtering, aggregations, and dashboards.",,,Do not aggregate directly; use child fields.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysning30PctVarevogn,KoeretoejOplysningGrundStruktur.KoeretoejOplysning30PctVarevogn,boolean,Basic vehicle information,30 percent van flag,"Boolean flag for a special Danish van/tax classification. Treat as a tax/registration category flag, not a general vehicle attribute.",true/false,KoeretoejOplysningGrundStruktur.KoeretoejOplysning30PctVarevogn,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVariant,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVariant,text,Basic vehicle information,EU variant,EU type-approval variant code.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVariant.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVariant.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVariant.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVariant,keyword,Basic vehicle information,EU variant (keyword),"Keyword/exact-match representation of eu variant. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVariant.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVersion,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVersion,text,Basic vehicle information,EU version,EU version code for the vehicle information/type-approval record. Usually used together with EU variant and type-approval fields.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVersion.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVersion.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVersion.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVersion,keyword,Basic vehicle information,EU version (keyword),"Keyword/exact-match representation of eu version. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEUVersion.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningEgnetTilTaxi,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEgnetTilTaxi,boolean,Basic vehicle information,Suitable for taxi flag,Boolean indicating whether the vehicle is registered as suitable for taxi use.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejOplysningEgnetTilTaxi,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningFabrikant,KoeretoejOplysningGrundStruktur.KoeretoejOplysningFabrikant,text,Basic vehicle information,Manufacturer,Vehicle manufacturer/fabricant.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningFabrikant.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningFabrikant.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningFabrikant.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningFabrikant,keyword,Basic vehicle information,Manufacturer (keyword),"Keyword/exact-match representation of manufacturer. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningFabrikant.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningFoersteRegistreringDato,KoeretoejOplysningGrundStruktur.KoeretoejOplysningFoersteRegistreringDato,date,Basic vehicle information,First registration date,Date of the vehicle's first registration.,date,KoeretoejOplysningGrundStruktur.KoeretoejOplysningFoersteRegistreringDato,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningIbrugtagningDato,KoeretoejOplysningGrundStruktur.KoeretoejOplysningIbrugtagningDato,text,Basic vehicle information,First use / in-service date,"Date the vehicle was first put into service. In this index it is text/keyword, so parse carefully if used as a date.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningIbrugtagningDato.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningIbrugtagningDato.keyword`. Mapped as text/keyword; parse/cast carefully before date math.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningIbrugtagningDato.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningIbrugtagningDato,keyword,Basic vehicle information,First use / in-service date (keyword),"Keyword/exact-match representation of first use / in-service date. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningIbrugtagningDato.keyword,Use for terms/grouping/exact matching. Mapped as text/keyword; parse/cast carefully before date math.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoeretoejstand,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoeretoejstand,text,Basic vehicle information,Vehicle condition,Condition/state of the vehicle in relation to customs inspection/import/registration workflows.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoeretoejstand.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoeretoejstand.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoeretoejstand.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoeretoejstand,keyword,Basic vehicle information,Vehicle condition (keyword),"Keyword/exact-match representation of vehicle condition. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKoeretoejstand.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningKommentar,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKommentar,text,Basic vehicle information,Vehicle information comment,Free-text comment on the vehicle information record.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKommentar.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningKommentar.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningKommentar.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKommentar,keyword,Basic vehicle information,Vehicle information comment (keyword),"Keyword/exact-match representation of vehicle information comment. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningKommentar.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningModelAar,KoeretoejOplysningGrundStruktur.KoeretoejOplysningModelAar,long,Basic vehicle information,Model year,"Model year of the vehicle, not necessarily the same as first registration year.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningModelAar,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningNCAPTest,KoeretoejOplysningGrundStruktur.KoeretoejOplysningNCAPTest,boolean,Basic vehicle information,Euro NCAP test flag,Boolean indicating whether the vehicle has passed or is linked to an NCAP test registration.,true/false,KoeretoejOplysningGrundStruktur.KoeretoejOplysningNCAPTest,,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningOprettetUdFra,KoeretoejOplysningGrundStruktur.KoeretoejOplysningOprettetUdFra,text,Basic vehicle information,Created from/source,Indicates how the vehicle record was created in DMR.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningOprettetUdFra.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningOprettetUdFra.keyword`.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningOprettetUdFra.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningOprettetUdFra,keyword,Basic vehicle information,Created from/source (keyword),"Keyword/exact-match representation of created from/source. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningOprettetUdFra.keyword,Use for terms/grouping/exact matching.,official/inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningStatus,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStatus,text,Basic vehicle information,Vehicle information status,Status of the vehicle information/technical record.,,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStatus.keyword,For exact matching use `KoeretoejOplysningGrundStruktur.KoeretoejOplysningStatus.keyword`.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningStatus.keyword,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStatus,keyword,Basic vehicle information,Vehicle information status (keyword),"Keyword/exact-match representation of vehicle information status. Use this variant for ES|QL/KQL equality filters, terms aggregations, grouping, and sorting.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStatus.keyword,Use for terms/grouping/exact matching.,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningStatusDato,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStatusDato,date,Basic vehicle information,Vehicle information status date,Date when the vehicle information status was set or changed.,date,KoeretoejOplysningGrundStruktur.KoeretoejOplysningStatusDato,,inferred
KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkobletSidevognStelnr,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkobletSidevognStelnr,text,Basic vehicle information,Attached sidecar VIN/chassis number,"VIN or chassis number of an attached sidecar, mainly relevant for motorcycles with sidecar. Treat as an identifier, not a number.",,KoeretoejOplysningGrundStruktur.KoeretoejOplysningTilkobletSidevognStelnr.keyword,Identifier/PII-like vehicle data; avoid exposing raw values in broad/public dashboards.,inferred
